,,F-Statistic,p-value
Auto,attraktiv,4.244541484716157,0.022124977753017912
Auto,unterstützend,0.41584158415841593,0.6629134399551171
Auto,einfach,0.7959183673469388,0.4589455770484546
Auto,übersichtlich,0.9181494661921711,0.4084034002845838
Auto,interessant,3.234636871508379,0.05106202061830867
Auto,neuartig,3.5454545454545463,0.039310013822091795
Inter,attraktiv,0.10055865921787711,0.904585174675684
Inter,unterstützend,1.2793388429752064,0.2905672332277383
Inter,einfach,6.923913043478262,0.002856360370183502
Inter,übersichtlich,1.950980392156863,0.1568731941537794
Inter,interessant,1.2793388429752064,0.2905672332277383
Inter,neuartig,3.270049099836333,0.04955325966596278
Template,attraktiv,2.918918918918918,0.06686499751056879
Template,unterstützend,3.3389121338912133,0.046752424673182885
Template,einfach,0.2039660056657224,0.8164259625959627
Template,übersichtlich,4.389830508474575,0.019678436257646523
Template,interessant,2.7615894039735096,0.07659745323242526
Template,neuartig,1.7033898305084745,0.19641198885532113
