,,attraktiv,einfach,interessant,neuartig,unterstützend,übersichtlich
Auto,count,13.0,13.0,13.0,13.0,13.0,13.0
Auto,mean,4.9743589743589745,5.666666666666667,4.615384615384616,4.051282051282051,5.435897435897436,5.871794871794871
Auto,std,0.9473309334313421,0.7453559924999298,0.8371706521699749,0.7916947813271391,0.7862783338192768,0.7269731965416804
Auto,min,3.6666666666666665,4.0,3.3333333333333335,2.6666666666666665,3.6666666666666665,4.333333333333333
Auto,25%,4.333333333333333,5.333333333333333,4.0,3.6666666666666665,5.0,5.333333333333333
Auto,50%,5.0,5.666666666666667,4.666666666666667,4.0,5.666666666666667,6.0
Auto,75%,5.666666666666667,6.333333333333333,5.0,4.333333333333333,6.0,6.333333333333333
Auto,max,6.666666666666667,7.0,6.0,5.333333333333333,6.333333333333333,7.0
Chat,count,13.0,13.0,13.0,13.0,13.0,13.0
Chat,mean,5.0256410256410255,5.128205128205128,4.512820512820513,4.410256410256411,4.666666666666666,5.153846153846154
Chat,std,1.5363589620914968,1.1590102861083,1.3096181562194817,1.225907420178621,1.3123346456686351,1.2664867168622826
Chat,min,2.3333333333333335,3.0,2.0,1.6666666666666667,2.0,3.0
Chat,25%,3.6666666666666665,4.333333333333333,3.6666666666666665,3.6666666666666665,3.6666666666666665,4.0
Chat,50%,5.333333333333333,5.333333333333333,4.666666666666667,4.666666666666667,5.0,5.666666666666667
Chat,75%,6.666666666666667,5.666666666666667,5.333333333333333,5.333333333333333,5.666666666666667,6.0
Chat,max,6.666666666666667,7.0,6.333333333333333,6.0,6.333333333333333,7.0
Template,count,13.0,13.0,13.0,13.0,13.0,13.0
Template,mean,5.897435897435898,4.641025641025641,5.512820512820513,4.743589743589743,5.743589743589744,5.230769230769232
Template,std,0.6292943635623922,0.9175403761580969,0.7020523434028926,0.654809078109741,0.5119650985255364,0.8859459830600765
Template,min,5.0,3.6666666666666665,4.666666666666667,3.6666666666666665,5.0,4.0
Template,25%,5.333333333333333,4.0,5.0,4.333333333333333,5.333333333333333,4.333333333333333
Template,50%,6.0,4.333333333333333,5.333333333333333,4.666666666666667,6.0,5.333333333333333
Template,75%,6.333333333333333,5.0,6.0,5.333333333333333,6.0,5.666666666666667
Template,max,7.0,7.0,6.666666666666667,5.666666666666667,6.666666666666667,6.666666666666667
