Timestamp,Gerät,Das Design der Webseite ist eher (unattraktiv -> attraktiv),Das Design der Webseite ist eher (behindernd-> unterstützend),Das Design der Webseite ist eher (kompliziert-> einfach),Das Design der Webseite ist eher (verwirrend-> übersichtlich),Das Design der Webseite ist eher (uninteressant-> interessant),Das Design der Webseite ist eher (herkömmlich-> neuartig),"Gab es Anzeigefehler auf der Webseite? Falls ja, bitte beschreiben Sie diese kurz.",Das Design der Webseite ist eher (unattraktiv -> attraktiv),Das Design der Webseite ist eher (behindernd-> unterstützend),Das Design der Webseite ist eher (kompliziert-> einfach),Das Design der Webseite ist eher (verwirrend-> übersichtlich),Das Design der Webseite ist eher (uninteressant-> interessant),Das Design der Webseite ist eher (herkömmlich-> neuartig),"Gab es Anzeigefehler auf der Webseite? Falls ja, bitte beschreiben Sie diese kurz.",Das Design der Webseite ist eher (unattraktiv -> attraktiv),Das Design der Webseite ist eher (behindernd-> unterstützend),Das Design der Webseite ist eher (kompliziert-> einfach),Das Design der Webseite ist eher (verwirrend-> übersichtlich),Das Design der Webseite ist eher (uninteressant-> interessant),Das Design der Webseite ist eher (herkömmlich-> neuartig),"Gab es Anzeigefehler auf der Webseite? Falls ja, bitte beschreiben Sie diese kurz.",Das Design der Webseite ist eher (unattraktiv -> attraktiv),Das Design der Webseite ist eher (behindernd-> unterstützend),Das Design der Webseite ist eher (kompliziert-> einfach),Das Design der Webseite ist eher (verwirrend-> übersichtlich),Das Design der Webseite ist eher (uninteressant-> interessant),Das Design der Webseite ist eher (herkömmlich-> neuartig),"Gab es Anzeigefehler auf der Webseite? Falls ja, bitte beschreiben Sie diese kurz.",Das Design der Webseite ist eher (unattraktiv -> attraktiv),Das Design der Webseite ist eher (behindernd-> unterstützend),Das Design der Webseite ist eher (kompliziert-> einfach),Das Design der Webseite ist eher (verwirrend-> übersichtlich),Das Design der Webseite ist eher (uninteressant-> interessant),Das Design der Webseite ist eher (herkömmlich-> neuartig),"Gab es Anzeigefehler auf der Webseite? Falls ja, bitte beschreiben Sie diese kurz.",Das Design der Webseite ist eher (unattraktiv -> attraktiv),Das Design der Webseite ist eher (behindernd-> unterstützend),Das Design der Webseite ist eher (kompliziert-> einfach),Das Design der Webseite ist eher (verwirrend-> übersichtlich),Das Design der Webseite ist eher (uninteressant-> interessant),Das Design der Webseite ist eher (herkömmlich-> neuartig),"Gab es Anzeigefehler auf der Webseite? Falls ja, bitte beschreiben Sie diese kurz.",Das Design der Webseite ist eher (unattraktiv -> attraktiv),Das Design der Webseite ist eher (behindernd-> unterstützend),Das Design der Webseite ist eher (kompliziert-> einfach),Das Design der Webseite ist eher (verwirrend-> übersichtlich),Das Design der Webseite ist eher (uninteressant-> interessant),Das Design der Webseite ist eher (herkömmlich-> neuartig),"Gab es Anzeigefehler auf der Webseite? Falls ja, bitte beschreiben Sie diese kurz.",Das Design der Webseite ist eher (unattraktiv -> attraktiv),Das Design der Webseite ist eher (behindernd-> unterstützend),Das Design der Webseite ist eher (kompliziert-> einfach),Das Design der Webseite ist eher (verwirrend-> übersichtlich),Das Design der Webseite ist eher (uninteressant-> interessant),Das Design der Webseite ist eher (herkömmlich-> neuartig),"Gab es Anzeigefehler auf der Webseite? Falls ja, bitte beschreiben Sie diese kurz.",Das Design der Webseite ist eher (unattraktiv -> attraktiv),Das Design der Webseite ist eher (behindernd-> unterstützend),Das Design der Webseite ist eher (kompliziert-> einfach),Das Design der Webseite ist eher (verwirrend-> übersichtlich),Das Design der Webseite ist eher (uninteressant-> interessant),Das Design der Webseite ist eher (herkömmlich-> neuartig),"Gab es Anzeigefehler auf der Webseite? Falls ja, bitte beschreiben Sie diese kurz.",Können Sie Zuordnen welche Webseite mit welchem Ansatz erstellt wurde? Für jedes Unternehmen wurde jeweils 1 Webseite mit jedem der 3 Ansätze erstellt.,Woran haben Sie sich bei der Zuordnung der Webseiten zu den Ansätzen orientiert? ,,,,,,,,
2024/01/04 12:19:32 pm CET,Computer/Notebook,6,6,7,7,6,5,Nein,6,5,7,7,5,5,,5,5,7,7,5,5,Nein,7,7,7,7,7,6,Nein,5,7,7,6,5,5,Nein,7,7,7,7,6,5,Nein,7,6,7,7,6,7,Nein,7,7,7,7,7,6,Nein,6,6,7,7,6,6,Nein,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 1: Templateanpassung,Ansatz 1: Templateanpassung,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 3: Autonomes Design,Ansatz 1: Templateanpassung,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 3: Autonomes Design,"Mein Gefühl, dass die in der ZUsammenarbeit erstellten besser aussahen"
2024/01/06 3:54:27 pm CET,Computer/Notebook,6,6,7,7,4,6,Nein,7,7,6,6,7,7,Nein,7,7,4,6,7,7,Kontaktbereich unten: Wort Kontaktieren beginnt im Word Nord,6,6,2,4,6,6,Überschriften der Leistungen größer als die Felder. Beim 2x hakelt der Seitenfluss.,6,5,3,4,6,6,Nein,6,6,7,7,4,2,Nein,4,6,7,6,4,3,"""Step into ..."" halb verborgen. Bei clicken auf Our Team + Contact sind die Überschriften halb verborgen. ",6,6,6,6,6,6,"Position der ""Unterseiten"" nicht korrekt, obere Bereiche verborgen.",7,6,4,7,7,4,"Startseite 50% zoom, dann volle Seite sichtbar. Andere mit 80% voll sichtbar.",Ansatz 1: Templateanpassung,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 3: Autonomes Design,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 3: Autonomes Design,Ansatz 1: Templateanpassung,An Komplexität von Designs und Aufbau.
2024/01/07 3:49:32 pm CET,Smartphone,3,4,6,4,3,3,Einige Titel überlappen die Textbox (z.B. Bewohnerwäsche) -> Smartphone ,5,5,6,6,6,5,Nein,6,6,6,6,6,6,Nein,3,3,4,3,3,3,Nein,5,5,4,5,4,4,Unternehmensname im Header ist abgeschnitten (Immobilien) -> Smartphone ,3,5,5,5,3,4,Nein,5,5,5,5,5,6,Startbild wird abgeschnitten -> Smartphone ,3,3,4,4,3,3,Nein,6,5,6,6,6,6,Nein,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Struktur/ Design/ Modernität 
2024/01/07 6:48:33 pm CET,Smartphone,3,2,5,4,3,2,Nein,6,7,6,7,6,6,Nein,2,3,4,3,2,3,Nein,2,2,2,2,2,1,Nein,6,6,5,6,5,5,Nein,4,5,4,6,5,4,Nein,2,2,2,3,1,2,Das Hintergrundbild war nicht auf das Format angepasst und abgeschnitten ,6,6,6,6,6,6,Nein,7,7,6,7,7,5,Nein,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,
2024/01/08 11:38:07 am CET,Computer/Notebook,4,4,7,7,3,2,Nein,5,5,6,6,5,4,Nein,6,5,6,6,5,4,Nein,4,3,7,7,4,3,Menülinks funktionieren nicht,6,6,3,3,6,5,Nein,3,3,7,3,3,2,Nein,6,5,5,5,5,4,Nein,3,3,6,4,3,2,Nein,6,6,5,7,6,5,Nein,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 1: Templateanpassung,Ansatz 2: Zusammenarbeit von Mensch und KI,Ich habe mich auf die Details und Animationen konzentriert
2024/01/08 6:59:43 pm CET,Computer/Notebook,5,6,6,7,4,2,Nein,7,6,5,7,5,3,Nein,7,7,6,7,6,4,Nein,6,6,5,5,6,4,Läuft beim Scrollen nicht sehr flüssig.,7,6,5,7,7,4,Nein,4,6,6,6,4,3,Nein,5,5,6,6,6,5,Nein,6,6,6,6,6,4,Nein,7,7,5,6,7,5,Nein,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 3: Autonomes Design,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 1: Templateanpassung,"- Zusammenspiel der Farben, - ob moderne Anzeigefeatures verwendet wurden, - Fehler bei Funktionsfeldern"
2024/01/08 7:29:16 pm CET,Smartphone,6,5,6,6,5,2,Berufsbekleidung und Bewoherwäsche ragen über die Infokästen hinaus.,7,7,5,7,7,7,Nein,6,6,6,6,5,5,Nein,3,4,3,5,3,3,Die Wörter in Großbuchstaben ragen aus dem Bild heraus und der Aufbau der Websiteinhalte dauert.,6,6,5,6,7,4,Nein,3,5,6,6,2,2,Nein,4,2,2,2,4,5,Nein,5,5,5,5,5,3,Nein,6,6,4,6,7,7,Nein,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 1: Templateanpassung,Ansatz 2: Zusammenarbeit von Mensch und KI,"Den Animationen in der Website, unter der Annahme, dass die KI keine Animationen erstellt hat "
2024/01/18 5:34:32 pm CET,Computer/Notebook,6,7,7,7,4,4,Nein,4,4,4,5,5,3,Nein,6,3,2,4,6,6,Nein,7,7,5,6,7,6,Nein,3,6,4,5,4,3,Nein,4,5,2,4,4,4,Nein,7,3,4,3,7,7,Nein,6,6,6,7,5,4,Nein,7,6,5,6,6,4,Nein,,,,,,,,,,
2024/01/22 5:05:44 pm CET,Computer/Notebook,5,5,7,6,3,3,Nein,3,5,7,7,3,3,Nein,6,6,3,4,6,5,Nein,7,6,5,6,6,6,Nein,6,6,4,3,6,6,Nein,4,5,6,7,4,4,Nein,7,4,6,6,7,7,Nein,5,6,6,6,3,4,Nein,7,7,5,6,6,6,Nein,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 1: Templateanpassung,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 3: Autonomes Design,Ansatz 1: Templateanpassung,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,"Bei vielen Kleinigkeiten wie Animationen oder ein nach oben Knopf eher Template, wenn sehr einfach aufgebaut eher autonom."
2024/02/02 2:34:56 pm CET,Smartphone,4,6,6,5,4,3,"Ja, leichte Verschiebung von Elementen",4,6,6,5,4,3,Nein,5,5,4,5,5,4,Nein,3,2,2,4,3,5,Nein,5,5,4,3,5,4,Nein,4,4,5,6,5,4,Nein,4,3,3,3,4,6,Nein,5,6,5,5,4,3,Nein,6,6,4,5,5,4,Nein,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 3: Autonomes Design,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 1: Templateanpassung,Ansatz 3: Autonomes Design,Ansatz 2: Zusammenarbeit von Mensch und KI,Ansatz 1: Templateanpassung,
