Timestamp,Auf welchem Gerät führen Sie dieseamfrage durch?,attraktiv,unterstützend,einfach,übersichtlich,interessant,neuartig,attraktiv,unterstützend,einfach,übersichtlich,interessant,neuartig,attraktiv,unterstützend,einfach,übersichtlich,interessant,neuartig,attraktiv,unterstützend,einfach,übersichtlich,interessant,neuartig,attraktiv,unterstützend,einfach,übersichtlich,interessant,neuartig,attraktiv,unterstützend,einfach,übersichtlich,interessant,neuartig,attraktiv,unterstützend,einfach,übersichtlich,interessant,neuartig,attraktiv,unterstützend,einfach,übersichtlich,interessant,neuartig,attraktiv,unterstützend,einfach,übersichtlich,interessant,neuartig
2024/01/04 12:19:32 pm CET,Computer/Notebook,6,6,7,7,6,5,6,5,7,7,5,5,5,5,7,7,5,5,7,7,7,7,7,6,5,7,7,6,5,5,7,7,7,7,6,5,7,6,7,7,6,7,7,7,7,7,7,6,6,6,7,7,6,6
2024/01/06 3:54:27 pm CET,Computer/Notebook,6,6,7,7,4,6,7,7,6,6,7,7,7,7,4,6,7,7,6,6,2,4,6,6,6,5,3,4,6,6,6,6,7,7,4,2,4,6,7,6,4,3,6,6,6,6,6,6,7,6,4,7,7,4
2024/01/07 3:49:32 pm CET,Smartphone,3,4,6,4,3,3,5,5,6,6,6,5,6,6,6,6,6,6,3,3,4,3,3,3,5,5,4,5,4,4,3,5,5,5,3,4,5,5,5,5,5,6,3,3,4,4,3,3,6,5,6,6,6,6
2024/01/07 6:48:33 pm CET,Smartphone,3,2,5,4,3,2,6,7,6,7,6,6,2,3,4,3,2,3,2,2,2,2,2,1,6,6,5,6,5,5,4,5,4,6,5,4,2,2,2,3,1,2,6,6,6,6,6,6,7,7,6,7,7,5
2024/01/08 11:38:07am CET,Computer/Notebook,4,4,7,7,3,2,5,5,6,6,5,4,6,5,6,6,5,4,4,3,7,7,4,3,6,6,3,3,6,5,3,3,7,3,3,2,6,5,5,5,5,4,3,3,6,4,3,2,6,6,5,7,6,5
2024/01/08 6:59:43 pm CET,Computer/Notebook,5,6,6,7,4,2,7,6,5,7,5,3,7,7,6,7,6,4,6,6,5,5,6,4,7,6,5,7,7,4,4,6,6,6,4,3,5,5,6,6,6,5,6,6,6,6,6,4,7,7,5,6,7,5
2024/01/08 7:29:16 pm CET,Smartphone,6,5,6,6,5,2,7,7,5,7,7,7,6,6,6,6,5,5,3,4,3,5,3,3,6,6,5,6,7,4,3,5,6,6,2,2,4,2,2,2,4,5,5,5,5,5,5,3,6,6,4,6,7,7
2024/01/18 5:34:32 pm CET,Computer/Notebook,6,7,7,7,4,4,4,4,4,5,5,3,6,3,2,4,6,6,7,7,5,6,7,6,3,6,4,5,4,3,4,5,2,4,4,4,7,3,4,3,7,7,6,6,6,7,5,4,7,6,5,6,6,4
2024/01/22 5:05:44 pm CET,Computer/Notebook,5,5,7,6,3,3,3,5,7,7,3,3,6,6,3,4,6,5,7,6,5,6,6,6,6,6,4,3,6,6,4,5,6,7,4,4,7,4,6,6,7,7,5,6,6,6,3,4,7,7,5,6,6,6
2024/02/02 2:34:56 pm CET,Smartphone,4,6,6,5,4,3,4,6,6,5,4,3,5,5,4,5,5,4,3,2,2,4,3,5,5,5,4,3,5,4,4,4,5,6,5,4,4,3,3,3,4,6,5,6,5,5,4,3,6,6,4,5,5,4
2024/02/02 3:45:12 pm CET,Computer/Notebook,6,6,7,7,5,4,7,6,7,6,4,5,6,5,4,6,6,5,7,7,7,7,6,5,7,6,6,7,6,4,4,7,5,4,5,4,5,5,6,7,6,6,6,6,6,6,4,5,7,6,4,7,6,5
2024/02/04 4:56:23 pm CET,Smartphone,2,3,6,4,2,2,6,6,6,6,6,5,4,4,4,3,2,4,2,3,3,2,1,2,6,5,4,6,4,4,2,5,5,5,2,2,3,3,3,4,5,3,5,5,4,5,5,5,6,4,4,6,6,6
2024/02/07 5:12:34 pm CET,Computer/Notebook,6,5,6,6,5,5,2,4,5,4,5,4,5,3,6,4,6,3,7,4,4,4,5,5,3,5,6,4,5,5,3,5,4,7,5,2,7,3,4,7,4,3,6,7,7,5,4,2,5,6,5,6,5,5
